MD,CALI,DEN_QI_EDIT,DT_QI_EDIT,GR,RT,IGR,VSH,porosity
7118,15.90412,2.126936,116.8996,64.26848,10.58089,0.235109654,0.068686108,0.340973099
7118.5,14.95628,2.126936,116.9011,75.11087,10.43406,0.289576727,0.091426245,0.340973099
7119,12.84335,2.126936,117.8991,56.06205,10.56833,0.193884405,0.053467323,0.340973099
7119.5,14.4424,2.126936,114.013,54.43504,9.923522,0.185711071,0.050636509,0.340973099
7120,14.50669,2.124,118.221,54.51777,8.98898,0.186126667,0.050779023,0.342690058
7120.5,14.83061,2.121064,118.3686,48.7821,9.05112,0.157313356,0.041249725,0.344407018
7121,14.10997,2.118128,118.3686,57.03126,9.581573,0.19875326,0.055182058,0.346123977
7121.5,12.48509,2.118128,118.3686,70.49651,9.153395,0.266396351,0.081358918,0.346123977
7122,12.52009,2.118128,118.3686,73.04323,8.1733,0.279189875,0.086841119,0.346123977
7122.5,12.78085,2.113724,118.3686,71.74834,7.688941,0.272684956,0.084031196,0.348699415
7123,12.91084,2.109319,118.3686,74.99094,7.182518,0.288974255,0.091156943,0.351275439
7123.5,13.0082,2.106383,117.4878,77.16045,7.022283,0.299872854,0.096093478,0.352992398
7124,12.94371,2.103447,116.6069,74.86353,7.681001,0.288334207,0.090871299,0.354709357
7124.5,13.20495,2.100511,116.6069,66.99278,8.082756,0.248795257,0.074104629,0.356426316
7125,13.53096,2.100511,117.4878,71.13647,7.872917,0.269611209,0.082719654,0.356426316
7125.5,13.82259,2.100511,117.4878,78.90549,8.005836,0.308639116,0.100165523,0.356426316
7126,13.06981,2.100511,117.4878,76.17372,8.556709,0.294915986,0.093831144,0.356426316
7126.5,12.7462,2.100511,115.7261,76.11227,8.0104,0.294607291,0.093691203,0.356426316
7127,12.71552,2.109319,112.2047,78.75269,7.879399,0.30787152,0.099805296,0.351275439
7127.5,12.94524,2.118128,120.1302,69.53769,7.082009,0.261579689,0.079341077,0.346123977
7128,13.3705,2.13134,120.1302,66.70012,6.666969,0.247325071,0.073513381,0.338397661
7128.5,14.2105,2.144552,119.2494,67.01122,6.719974,0.248887891,0.074141958,0.330671345
7129,13.55659,2.144553,119.2494,68.02367,6.874169,0.253973964,0.076205139,0.33067076
7129.5,12.97142,2.144553,118.3686,72.81311,7.756398,0.278033861,0.086338325,0.33067076
7130,13.23352,2.153361,118.3686,69.68222,8.014285,0.26230574,0.079643648,0.325519883
7130.5,12.74698,2.162169,118.3686,71.18433,7.251824,0.269851635,0.08282187,0.320369006
7131,13.78783,2.162169,119.2494,73.07216,7.478354,0.279335206,0.086904434,0.320369006
7131.5,13.4942,2.162169,120.1302,73.43915,7.516276,0.281178791,0.087709668,0.320369006
7132,13.29982,2.162169,120.1302,72.96864,9.079221,0.27881517,0.086677982,0.320369006
7132.5,13.29903,2.153361,120.1302,73.09601,8.814038,0.279455017,0.086956649,0.325519883
7133,12.54938,2.153361,120.1302,65.8573,8.356171,0.243091139,0.071823069,0.325519883
7133.5,12.38834,2.153361,120.1302,74.33855,7.022983,0.285696955,0.089699269,0.325519883
7134,12.39127,2.153361,120.1302,75.24982,6.279242,0.290274747,0.091738778,0.325519883
7134.5,13.2686,2.156297,120.1302,83.6237,6.132172,0.332341186,0.111645047,0.323802924
7135,12.38712,2.159233,120.1302,84.89569,6.398115,0.338731066,0.114861125,0.322085965
7135.5,12.48641,2.162169,126.3614,87.03519,7.725241,0.349478909,0.12039091,0.320369006
7136,12.29086,2.166574,114.2825,85.44563,8.190979,0.341493707,0.116267987,0.317792982
7136.5,12.29303,2.170978,120.9618,83.73184,8.148095,0.332884431,0.111916421,0.315217544
7137,12.52168,2.179786,118.8023,72.06567,8.554642,0.274279073,0.084715475,0.310066667
7137.5,12.71883,2.188594,120.3079,61.73336,8.764581,0.222374402,0.063811861,0.304915789
7138,13.27442,2.188594,120.4989,56.20866,8.849991,0.194620904,0.053725334,0.304915789
7138.5,13.76277,2.188594,119.2506,54.18904,9.107821,0.184475282,0.050213638,0.304915789
7139,14.86972,2.179786,119.6049,51.85439,9.244759,0.172747097,0.046266416,0.310066667
7139.5,15.35454,2.175382,121.4542,50.55721,9.218198,0.166230674,0.044124027,0.312642105
7140,14.73401,2.170978,121.8056,52.38987,9.021428,0.175437097,0.047161294,0.315217544
7140.5,14.96688,2.148957,122.3069,54.92611,8.688106,0.188177976,0.051484672,0.328095322
7141,15.80969,2.144553,122.9037,61.38419,8.314255,0.220620336,0.063152903,0.33067076
7141.5,15.84143,2.144553,122.693,77.97301,8.089369,0.303954774,0.097978198,0.33067076
7142,15.90621,2.144553,121.8919,79.46536,8.259968,0.311451639,0.101491495,0.33067076
7142.5,15.83651,2.148957,121.8919,86.65903,8.140965,0.347589258,0.119407605,0.328095322
7143,14.10342,2.153361,121.8919,86.89433,8.168752,0.348771295,0.120022135,0.325519883
7143.5,13.71213,2.179786,121.8919,85.09143,8.073455,0.339714372,0.115360727,0.310066667
7144,12.51951,2.192998,121.8919,83.00458,7.080523,0.329231018,0.110098641,0.302340351
7144.5,14.12674,2.206211,121.8919,86.98532,6.604438,0.349228386,0.120260273,0.29461345
7145,14.43726,2.206211,121.0111,87.27623,6.465327,0.350689781,0.121023514,0.29461345
7145.5,12.35427,2.206211,121.0111,88.57928,6.7102,0.357235692,0.124477559,0.29461345
7146,12.32405,2.201807,121.0111,90.53815,7.010821,0.367076135,0.129780352,0.297188889
