2019-04-19 06:03:40,"Seattle, WA                                           Retail Store Near You",334,323,"So the videos of the phones being folded over and over were???🤭

Samsung has a mess with the nearly $2,000 Galaxy F… https://t.co/lm5byL7aHY","[[[-122.356239, 47.785059], [-122.3355952, 47.785059], [-122.3355952, 47.7996644], [-122.356239, 47.7996644]]]","Esperance, WA",United States,US,city

2019-04-19 06:00:05,"Bali, Indonesia",261,314,#twilight #sunset #beach #samsung #samsunga72017 #bali @ Discovery Shopping Mall https://t.co/XqTb7shi36,"[[[115.083847, -8.849261], [115.240267, -8.849261], [115.240267, -8.601695], [115.083847, -8.601695]]]","Kuta, Indonesia",Indonesia,ID,city

2019-04-19 05:59:56,,143,500,I want !!! Samsung Galaxy Fold Unboxing https://t.co/lu3FLWmHIN via @YouTube,"[[[-84.347226, 35.962375], [-84.1656902, 35.962375], [-84.1656902, 36.073648], [-84.347226, 36.073648]]]","Oak Ridge, TN",United States,US,city

2019-04-19 05:49:39,,275,243,I probably bought my Samsung tv back in 2012 and it works fine and all but this hoe updates just about everyday and… https://t.co/pvnIOd2OWz,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]","Houston, TX",United States,US,city

2019-04-19 05:38:29,"Hyderabad, India",5378,5628,"@Samsung_IN Thanks, team for organising superb contest","[[[78.426176, 17.234568], [78.770343, 17.234568], [78.770343, 17.495638], [78.426176, 17.495638]]]","Hayathnagar, India",India,IN,city

2019-04-19 05:10:47,India,43,118,"220 is love  ❣️❣️
#bike #pulsar #bajaj #pulsar220 #india #race #bikerlife #streetphotography #biswajeet_panda… https://t.co/LBVqMu4q6m","[[[84.35093, 18.983882], [84.916407, 18.983882], [84.916407, 19.429849], [84.35093, 19.429849]]]","Brahmapur, India",India,IN,city

2019-04-19 05:05:04,Hamburg,85,68,"Hamburger #elbbrücken 😊
.
. 
Photo by @Joshua_Sannmann
•••••••••••••••••••••••••••••••••••
📷 Samsung Galaxy S9
📷 So… https://t.co/hkvgXKkZSB","[[[8.4201604, 53.395118], [10.325199, 53.395118], [10.325199, 53.9646546], [8.4201604, 53.9646546]]]","Hamburg, Germany",Germany,DE,city

2019-04-19 05:00:50,"Piemonte, Italia",200,1413,"Galaxy Fold screen meltdown: What's happening with Samsung's foldable phone and what to do if your ordered one

https://t.co/llm7nVA0sZ","[[[11.2757081, 46.4449491], [11.4325935, 46.4449491], [11.4325935, 46.5301962], [11.2757081, 46.5301962]]]","Bolzano, Trentino-South Tyrol",Italy,IT,city

2019-04-19 04:47:50,bangalore,103,914,@Samsung_IN Super👌👌,"[[[76.648499, 16.190512], [76.673823, 16.190512], [76.673823, 16.20626], [76.648499, 16.20626]]]","Hatti, India",India,IN,city

2019-04-19 04:43:28,"Lahore, Pakistan",240,630,"In other news, people are taking off the protective film of their $2000 Samsung Fold's thinking it's a screen prote… https://t.co/nSKLqxs8df","[[[69.328873, 27.708226], [75.382124, 27.708226], [75.382124, 34.019989], [69.328873, 34.019989]]]","Punjab, Pakistan",Pakistan,PK,admin

